iter	Logloss	Accuracy
0	0.6736654624	0.7996632997
1	0.6590885825	0.797979798
2	0.6454776639	0.797979798
3	0.6281722062	0.8265993266
4	0.6130346088	0.8282828283
5	0.5991213782	0.82996633
6	0.5862266279	0.8282828283
7	0.5737475662	0.8282828283
8	0.5635424961	0.8282828283
9	0.5554797518	0.8097643098
10	0.546013078	0.8097643098
11	0.5380506399	0.8047138047
12	0.5308586804	0.8097643098
13	0.5238697757	0.8114478114
14	0.5180839694	0.8097643098
15	0.510563576	0.8097643098
16	0.5038589524	0.8097643098
17	0.4963467584	0.8148148148
18	0.4911722931	0.8131313131
19	0.4860165896	0.8131313131
20	0.4833770883	0.8097643098
21	0.4781767544	0.8097643098
22	0.472574969	0.8114478114
23	0.4692088701	0.8131313131
24	0.46389777	0.8181818182
25	0.4602067593	0.8198653199
26	0.4583488352	0.8164983165
27	0.4568147395	0.8232323232
28	0.4542494688	0.8232323232229	0.4522365386	0.8215488215330	0.450886738	0.8181818182
31	0.4492407455	0.8215488215
32	0.4473195509	0.8215488215333	0.4432892216	0.8215488215334	0.439860772	0.8198653199335	0.4363435617	0.8215488215336	0.4333125302	0.8215488215337	0.4325158692	0.8215488215338	0.4307355934	0.8215488215339	0.4292425006	0.8232323232440	0.4278553157	0.8232323232441	0.4268801284	0.8232323232442	0.4258609308	0.8232323232443	0.424426914	0.8232323232
44	0.4232641937	0.8265993266
45	0.4220101811	0.8215488215
46	0.419788805	0.8232323232
47	0.4172843387	0.8265993266
48	0.4145292291	0.8265993266
49	0.4137637687	0.8265993266
50	0.4130031103	0.8265993266
51	0.4103385046	0.82996633
52	0.4062501797	0.82996633
53	0.4052389407	0.82996633
54	0.4036754285	0.8333333333
55	0.4021617136	0.8333333333
56	0.4000008504	0.8333333333
57	0.3993788948	0.8333333333
58	0.3991001861	0.8333333333
59	0.3984395509	0.8333333333
60	0.3964841323	0.8333333333
61	0.3939633892	0.8333333333
62	0.3937209343	0.8333333333
63	0.3919185173	0.8333333333
64	0.3907730013	0.835016835
65	0.389709792	0.835016835
66	0.388705458	0.835016835
67	0.3875335013	0.8333333333
68	0.386842273	0.8333333333
69	0.3860553457	0.835016835
70	0.3856345166	0.835016835
71	0.3842382159	0.8383838384
72	0.3824602509	0.8383838384
73	0.382096649	0.8383838384
74	0.3816569611	0.8383838384
75	0.38114724	0.8400673401
76	0.3797569083	0.8400673401
77	0.3795618572	0.8400673401
78	0.377727229	0.8400673401
79	0.3772375777	0.8400673401
80	0.3750979852	0.8417508418
81	0.3740055838	0.8417508418
82	0.3727290647	0.8468013468
83	0.371816364	0.8451178451
84	0.3710724118	0.8451178451
