iter	Passed	Remaining
0	65	65930
1	94	46999
2	128	42588
3	163	40665
4	190	38001
5	239	39657
6	274	39002
7	332	41225
8	385	42500
9	442	43832
10	505	45475
11	526	43314
12	554	42103
13	578	40729
14	590	38763
15	613	37711
16	628	36356
17	645	35217
18	659	34047
19	675	33102
20	687	32043
21	710	31581
22	734	31188
23	752	30618
24	768	29970
25	790	29609
26	813	29331
27	834	28973
28	854	28608
29	875	28308
30	893	27927
31	910	27533
32	931	27296
33	954	27112
34	976	26910
35	996	26678
36	1012	26364
37	1024	25935
38	1079	26594
39	1114	26747
40	1148	26859
41	1174	26787
42	1201	26745
43	1239	26922
44	1284	27264
45	1329	27582
46	1383	28043
47	1429	28351
48	1453	28218
49	1479	28110
50	1505	28020
51	1538	28041
52	1585	28329
53	1609	28201
54	1636	28120
55	1681	28340
56	1712	28335
57	1746	28360
58	1770	28244
59	1793	28099
60	1832	28201
61	1866	28233
62	1891	28132
63	1933	28271
64	1960	28198
65	1989	28148
66	2013	28041
67	2041	27982
68	2058	27775
69	2080	27636
70	2103	27517
71	2128	27431
72	2154	27360
73	2179	27274
74	2203	27174
75	2231	27124
76	2254	27020
77	2270	26833
78	2292	26727
79	2317	26655
80	2338	26532
81	2358	26409
82	2391	26418
83	2416	26349
84	2445	26321
85	2461	26158
86	2489	26129
87	2518	26102
88	2546	26062
89	2570	25986
90	2586	25841
91	2612	25785
92	2626	25619
93	2647	25512
94	2666	25400
95	2683	25271
96	2708	25216
97	2735	25175
98	2752	25051
99	2773	24962
100	2801	24937
101	2820	24832
102	2844	24771
103	2860	24648
104	2884	24585
105	2903	24485
106	2921	24379
107	2939	24274
108	2958	24186
109	2976	24082
110	2997	24004
111	3011	23878
112	3027	23764
113	3089	24013
114	3134	24122
115	3170	24162
116	3197	24132
117	3218	24058
118	3234	23947
119	3260	23910
120	3289	23894
121	3300	23752
122	3318	23663
123	3339	23592
124	3370	23590
125	3399	23580
126	3413	23461
127	3429	23361
128	3451	23304
129	3480	23290
130	3522	23368
131	3561	23420
132	3595	23435
133	3638	23515
134	3676	23558
135	3698	23497
