iter	Logloss
0	0.6745257665
1	0.662729652
2	0.6498168712
3	0.6385090239
4	0.6236808195
5	0.6105349825
6	0.5975929974
7	0.585433594
8	0.5750270081
9	0.5666297667
10	0.5594253201
11	0.5544522403
12	0.5481126881
13	0.5396509629
14	0.5316225115
15	0.5238536378
16	0.5199836601
17	0.5144639552
18	0.511498351
19	0.5060134113
20	0.4993704558
21	0.4939067031
22	0.4917031004
23	0.4875306294
24	0.4828835462
25	0.4819925616
26	0.4785557928
27	0.4745578791
28	0.4702662657
29	0.4651907469
30	0.4607552673
31	0.4580821013
32	0.4558894092
33	0.4537795252
34	0.4527721925
35	0.4510926767
36	0.449320349
37	0.4466807347
38	0.4445032616
39	0.4416595416
40	0.4405767705
41	0.4398256992
42	0.4390197273
43	0.4377861336
44	0.4362688631
45	0.4352885733
46	0.4327338839
47	0.4306259413
48	0.4303380422
49	0.4289341981
