iter	Passed	Remaining
0	9	484
1	16	392
2	23	366
3	29	335
4	35	320
5	49	359
6	61	378
7	71	377
8	76	350
9	85	343
10	92	327
11	95	303
12	100	287
13	110	283
14	119	278
15	127	271
16	131	255
17	137	245
18	141	230
19	149	224
20	158	218
21	167	213
22	170	200
23	180	195
24	197	197
25	203	187
26	209	178
27	221	174
28	235	170
29	247	165
30	258	158
31	270	152
32	282	145
33	294	138
34	300	128
35	309	120
36	332	116
37	352	111
38	367	103
39	379	94
40	386	84
41	392	74
42	398	64
43	412	56
44	420	46
45	430	37
46	444	28
47	463	19
48	473	9
49	485	0
